"Name","Errors"
"Silvina Schnyder - Silvina Uñas Pocitos - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Silvina Schnyder - Silvina Uñas Pocitos - Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Agustina Agustina - Silvina Uñas Pocitos - Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Agustina Agustina - Silvina Uñas Pocitos - Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Agustina Agustina - Silvina Uñas Pocitos - Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Agustina Agustina - Silvina Uñas Pocitos - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Agustina Agustina - Silvina Uñas Pocitos - Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Soledad Soledad - Silvina Uñas Pocitos - Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Soledad Soledad - Silvina Uñas Pocitos - Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Soledad Soledad - Silvina Uñas Pocitos - Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Soledad Soledad - Silvina Uñas Pocitos - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Soledad Soledad - Silvina Uñas Pocitos - Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Presoterapia Bota - Silvina Uñas Pocitos - Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Presoterapia Bota - Silvina Uñas Pocitos - Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Presoterapia Bota - Silvina Uñas Pocitos - Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Presoterapia Bota - Silvina Uñas Pocitos - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Presoterapia Bota - Silvina Uñas Pocitos - Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Cejas y pestañas Cejas y pestañas - Silvina Uñas Pocitos - Tuesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Cejas y pestañas Cejas y pestañas - Silvina Uñas Pocitos - Wednesday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Cejas y pestañas Cejas y pestañas - Silvina Uñas Pocitos - Thursday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Cejas y pestañas Cejas y pestañas - Silvina Uñas Pocitos - Friday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Cejas y pestañas Cejas y pestañas - Silvina Uñas Pocitos - Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
"Cejas y pestañas Cejas y pestañas - Silvina Uñas Pocitos - Saturday","Required fields are missing: [Employee__c, Day_Of_Week__c, End_Hour__c, Start_Hour__c]"
