"Name","Errors"
"Natalicio de Artigas","Required fields are missing: [Business_Branch__c, Date__c]"
"Jura de la constitucion","Required fields are missing: [Business_Branch__c, Date__c]"
"Feriado 3 de Junio","Required fields are missing: [Business_Branch__c, Date__c]"
"Feriado 6 de Junio","Required fields are missing: [Business_Branch__c, Date__c]"
"18 de julio","Required fields are missing: [Business_Branch__c, Date__c]"
"9 de junio","Required fields are missing: [Business_Branch__c, Date__c]"
"11 de junio","Required fields are missing: [Business_Branch__c, Date__c]"
"Natalicio de Artigas","Required fields are missing: [Business_Branch__c, Date__c]"
