"Name","Errors"
"Zentidos La Tahona","Required fields are missing: [Business__c, Display_Name__c]"
"Zentidos Carrasco","Required fields are missing: [Business__c, Display_Name__c]"
"Silvina Uñas Pocitos","Required fields are missing: [Business__c, Display_Name__c]"
